 # CCMLA Entropy Cutoff=  -1.000
 # NumSnap     Entropy
     50000      2.4872
    100000      4.9563
    150000      5.3369
    200000      4.8580
    250000      4.8286
    300000      5.2840
    350000      5.3121
    400000      5.2106
    450000      5.1641
    500000      5.1930
    550000      5.2659
    600000      5.3485
    650000      5.2867
    700000      5.2926
    750000      5.3084
    800000      5.4092
    850000      5.4234
    900000      5.4347
    950000      5.4326
   1000000      5.4416
